pop,dos,id,draw,blocked,p,q
2,0,40,0.5,0,-1,0
2,1,40,0.5,1,-1,0
2,5,40,0.5,1,41,38
2,10,40,0.5,1,41,38
2,0,90,62.6,0,-1,0
2,1,90,62.6,0,-1,0
2,5,90,62.6,0,41,-132
2,10,90,62.6,0,41,-132
2,0,68,1.8,0,-1,0
2,1,68,1.8,0,-1,0
2,5,68,1.8,1,41,-95
2,10,68,1.8,1,41,-95
2,0,150,1.8,0,-1,0
2,1,150,1.8,0,-1,0
2,5,150,1.8,1,55,36
2,10,150,1.8,1,48,36
2,0,135,68.6,0,-1,0
2,1,135,68.6,0,-1,0
2,5,135,68.6,0,55,41
2,10,135,68.6,0,48,41
2,0,190,94.7,0,-1,0
2,1,190,94.7,0,-1,0
2,5,190,94.7,0,55,38
2,10,190,94.7,0,48,38
2,0,186,98.2,0,-1,0
2,1,186,98.2,0,-1,0
2,5,186,98.2,0,55,39
2,10,186,98.2,0,48,39
2,0,37,75.9,0,-1,0
2,1,37,75.9,0,-1,0
